"FACILITY","ADDRESS","LAST INSPECTED","VIOLATIONS","TOTAL # CRITICAL VIOLATIONS","TOTAL #CRIT.  NOT CORRECTED ","TOTAL # NONCRITICAL VIOLATIONS","DESCRIPTION"," LOCAL HEALTH DEPARTMENT","COUNTY","FACILITY ADDRESS","CITY","ZIP CODE","NYSDOH GAZETTEER (1980)","MUNICIPALITY","OPERATION NAME","PERMIT EXPIRATION DATE","PERMITTED  (D/B/A)","PERMITTED  CORP. NAME","PERM. OPERATOR LAST NAME","PERM. OPERATOR FIRST NAME","NYS HEALTH OPERATION ID","INSPECTION TYPE","INSPECTION COMMENTS","FOOD SERVICE FACILITY STATE","Location1"
"ROCKAWAY HUNTING CLUB, THE","615 OCEAN  AVENUE,  LAWRENCE","10/29/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Nassau  County","NASSAU","615 OCEAN  AVENUE","LAWRENCE","11559","292400","HEMPSTEAD","THE ROCKAWAY HUNTING CLUB","03/31/2026","ROCKAWAY HUNTING CLUB #512","THE ROCKAWAY HUNTING CLUB INC",,,"578044","Re-Inspection","Shellfish tags properly stored with fresh product in the walk-in refrigerator. 90-day supply of tags available on site for review.","NY","(40.615168, -73.711313)"
"MIDWAY JEWISH CENTER NURSERY SCHOOL","330 SOUTH OYSTER BAY  ROAD,  SYOSSET","12/21/2023","No violations found.","0","0","0","Institutional Food Service - Day Care Center Food Service","Nassau  County","NASSAU","330 SOUTH OYSTER BAY  ROAD","SYOSSET","11793","295216","OYSTER BAY","MIDWAY JEWISH CENTER NURSERY SCHOOL","12/31/2040","MIDWAY JEWISH CENTER NURSERY SCHOOL","MIDWAY JEWISH CENTER INC.",,,"576579","Inspection","Grade: A|Enrollment #: 41|Age range: 2-4 years old|Only serve dry snacks, children bring packed lunch.|Max at any given time: 63 max|Allergy protocol discussed.|Sick worker policy discussed.","NY","(40.790992, -73.503902)"
"OUR LADY OF MT CARMEL CHURCH KITCHEN","934 STEWART  PLACE,  FRANKLIN SQUARE","07/17/2025","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Nassau  County","NASSAU","934 STEWART  PLACE","FRANKLIN SQUARE","11010","295015","HEMPSTEAD","OUR LADY OF MT CARMEL CHURCH KITCHEN","06/30/2026","OUR LADY OF MT CARMEL CHURCH KITCHEN","OUR LADY OF MT CARMEL SOCIETY","FALCO. PRESIDENT","ANTHONY","576455","Inspection","no violations noted at this time|handwashing ok|gloves available |hot water 140f","NY","(40.715514, -73.674738)"
"SMOKEY BONES BBQ #7504","1557 CENTRAL AVENUE,  ALBANY","10/07/2025","Item 14C-   Pesticide application not supervised by a certified applicator;","0","0","1","Food Service Establishment - Restaurant","Albany County","ALBANY","1557 CENTRAL AVENUE","ALBANY","12205","012400","COLONIE","SMOKEY BONES BARBEQUE & GRILL #7504","03/31/2026",,"BARBEQUE INTEGRATED, INC.","SHELL","JON","598770","Inspection","The dishwasher is chemical base there was ph chlorine test strips onsite. Dishwasher is working properly.","NY","(42.715133, -73.829959)"
"Labyrinth Press Company","10-12 E 4th St,  Jamestown","10/24/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Chautauqua County","CHAUTAUQUA","10-12 E 4th St","Jamestown","14701","060200","JAMESTOWN","Labyrinth Press Company","09/30/2027",,"Labyrinth Press Company Inc.","James","Jeffrey","583231","Inspection",,"NY","(42.097281, -79.240833)"
"DJ'S INTERNATIONAL BUFFET","1100 STEWART AVENUE,  GARDEN CITY","05/30/2024","No violations found.","0","0","0","Food Service Establishment - Restaurant","Nassau  County","NASSAU","1100 STEWART AVENUE","GARDEN CITY","11530","290500","HEMPSTEAD","DJ'S INTERNATIONAL BUFFET","02/28/2026",,"DJ'S INTERNATIONAL BUFFET INC",,,"664740","Re-Inspection","All corrections were made","NY","(40.735755, -73.593128)"
"STARBUCKS COFFEE #7627","184 SEVENTH STREET,  GARDEN CITY","01/22/2026","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Nassau  County","NASSAU","184 SEVENTH STREET","GARDEN CITY","11530","290500","HEMPSTEAD","STARBUCKS COFFEE #7627","03/31/2026",,"STARBUCKS CORPORATION",,,"577139","Inspection","0/0 “A”|Seats: 25|Permit: exp 03/31/2026","NY","(40.725183, -73.634422)"
"RVC SD - SOUTHSIDE HIGH SCHOOL","140 SHEPHERD STREET,  ROCKVILLE CENTRE","10/08/2024","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Nassau  County","NASSAU","140 SHEPHERD STREET","ROCKVILLE CENTRE","11570","299900","NASSAU SCHOOLS","RVC SD - SOUTHSIDE HIGH SCHOOL","08/31/2026",,"ROCKVILLE CENTRE UFSD",,,"685859","Inspection","Score: 0/0 “A”|Permit Expires: August 31, 2025|Milk Expiration Date: October 11 - October 17, 2024|Menu Attached.","NY","(40.667004, -73.622346)"
"SHULAMITH SCHOOL FOR GIRLS","140 IRVING PLACE,  WOODMERE","05/19/2025","Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","1","Institutional Food Service - School K-12 Food Service","Nassau  County","NASSAU","140 IRVING PLACE","WOODMERE","11598","299900","NASSAU SCHOOLS","SHULAMITH SCHOOL FOR GIRLS","04/30/2026",,"SHULAMITH SCHOOL",,,"577283","Inspection","Score: 0/1 “A”|Permit Expired: April 30, 2024|No milk program or lunch program at the school. |Breakfast (milk and cereal - delivered from Gourmet Glatt - Cedarhurst)|Mondays: Hunkeys Pizza and Sushi|Tuesdays: Davids Pizza|Wednesdays: Traditions and Sushi|Thursdays: Hunkeys and Sushi|Fridays: No Lunch","NY","(40.632796, -73.709862)"
"DARIO'S RESTAURANT","13 NORTH VILLAGE AVENUE,  ROCKVILLE CENTRE","01/02/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11C-   Food contact surfaces not washed, rinsed and sanitized after each use and following any time of operations when contamination may have occurred; Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing;","0","0","5","Food Service Establishment - Restaurant","Nassau  County","NASSAU","13 NORTH VILLAGE AVENUE","ROCKVILLE CENTRE","11570","290900","HEMPSTEAD","DARIO'S RESTAURANT","03/31/2026",,"ALBONA RESTAURANT CORP",,,"570956","Inspection","Permit expires March 2025|PV - FMTC exp. Jan 2027 no.  41640|Grade A|65 seats","NY","(40.656421, -73.647557)"
"Murdock's Bar and Grill","5703 Route 305,  Cuba","10/17/2025","Item 11D-   Non food contact surfaces of equipment not clean; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","3","Food Service Establishment - Food Service Establishment","Allegany County","ALLEGANY","5703 Route 305","Cuba","14727","026400","CUBA","Murdock's Bar and Grill","03/31/2026",,,"Frascella","Lisa","693517","Inspection","Spoke with operator about finding time/staff to clean kitchen.","NY","(42.24868, -78.270294)"
"PARK TERRACE ELEMENTARY SCHOOL","EXT. BLOOMINGDALE AVENUE,  GLOVERSVILLE","11/20/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Herkimer District Office","FULTON","EXT. BLOOMINGDALE AVENUE","GLOVERSVILLE","12078","170100","GLOVERSVILLE","PARK TERRACE ELEMENTARY SCHOOL","06/30/2027",,"GLOVERSVILLE SCHOOL DISTRICT","NALEWJKA","GREG","338320","Inspection","No violations.  Coolers, freezers, thermometers ok;  proper holding temperatures.  Hair restraint, hand washing and glove usage noted.  Sanitizer greater than 200 ppm. Dishwasher final rinse temperature at 185 degrees F.  |Facility is markedly clean.  Surfaces well maintained, utensils properly stored.  Rear storage area is clean and organized. Cooler interiors all well maintained.","NY","(43.041976, -74.344017)"
"HOLY TRINITY GREEK ORTHDX CHRCH(MHK)","20 FIELD AVENUE,  HICKSVILLE","09/05/2025","No violations found.","0","0","0","Institutional Food Service - Religious, Charitable, Fraternal Organization","Nassau  County","NASSAU","20 FIELD AVENUE","HICKSVILLE","11801","295205","OYSTER BAY","HOLY TRINITY GREEK ORTHODOX CHURCH (MHK)","08/31/2026",,"HOLY TRINITY GREEK ORTHODOX CHURCH HCKSVLL LI INC",,,"717453","Inspection","Score: 0/0 “A”|Permit Expires: August 31, 2026.","NY","(40.764606, -73.502996)"
"CRAWFORD'S COFFEE BAR & CAFE","424 CENTRAL AVENUE,  CEDARHURST","03/17/2025","Item 16-   Miscellaneous, Economic Violation, Choking Poster, Training.;","0","0","1","Food Service Establishment - Restaurant","Nassau  County","NASSAU","424 CENTRAL AVENUE","CEDARHURST","11516","292900","HEMPSTEAD","CRAWFORD'S COFFEE BAR & CAFE","09/30/2026",,"CRAWFORDS OF CEDARHURST INC.",,,"716973","Re-Inspection",,"NY","(40.62001, -73.72605)"
"GOOD GROUND FAMILY CHURCH","49 JOHNSTON AVENUE,  COHOES","07/10/2025","Item 12E-   Handwashing facilities inaccessible, improperly located, dirty, in disrepair, improper fixtures, soap, and single service towels or hand drying devices missing; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","2","Food Service Establishment - Food Service Establishment","Albany County","ALBANY","49 JOHNSTON AVENUE","COHOES","12047","010200","COHOES","GOOD GROUND FAMILY CHURCH SOUP KITCHEN","08/31/2026",,"GOOD GROUND MINISTRIES INT'L, INC.","WILLIAMS","BENJAMIN","718185","Inspection","NOI excellent compliance","NY","(42.776064, -73.70666)"
"Food Bank of CNY @ Schiller Park Com","1 Schiller Park ROAD,  Syracuse","07/18/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Onondaga County","ONONDAGA","1 Schiller Park ROAD","Syracuse","13203","330100","SYRACUSE","Food Bank of CNY at Schiller Park Community Center","01/31/2027",,"Food Bank of Central New York","Swan","Amalia","717252","Inspection","Conditions satisfactory at this time.  Not operating at time of inspection.|All coolers operating properly to keep potentially hazardous foods at or below 45 degrees F.  |All hot holding units operating properly to keep potentially hazardous foods at or above 140 degrees F.","NY","(43.06697, -76.13674)"
"DUNKIN DONUTS","33 LINCOLN AVENUE,  PELHAM","02/24/2025","Item 10A-   Food (ice) contact surfaces are improperly designed, constructed, installed, located (cracks, open seams, pitted surfaces, tin cans reused, uncleanable or corroded food contact surfaces);","0","0","1","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","33 LINCOLN AVENUE","PELHAM","10803","593600","PELHAM","DUNKIN DONUTS","10/31/2026",,"FAC PELHAM LLC","MARRINAN","PETER","752330","Inspection","All measured temperatures adequate at this time. Pest control services provided by CMA Pest Control, on a monthly basis with the last date of service 2/25/25|Discussed the following: |- Food allergen course for permit renewal|-Monitoring equipment status: checking thermometers.","NY","(40.916119, -73.810746)"
"S&S CAFE","18 NORTH MAIN STREET,  BAINBRIDGE","01/23/2026","Item  8C-   Improper use and storage of clean, sanitized equipment and utensils; Item 11B-   Wiping cloths dirty, not stored properly in sanitizing solutions;","0","0","2","Food Service Establishment - Restaurant","Chenango County","CHENANGO","18 NORTH MAIN STREET","BAINBRIDGE","13733","082100","BAINBRIDGE","S&S CAFE","12/31/2026",,"SS CAFE","WAINWRIGHT","SUSAN","750429","Inspection",,"NY","(42.294152, -75.478714)"
"ARMS ACRES","75 SEMINARY HILL ROAD,  CARMEL","09/25/2025","Item 12C-   Plumbing and sinks not properly sized, installed, maintained; equipment and floors not properly drained; Item 15A-   Floors, walls, ceilings, not smooth, properly constructed, in disrepair, dirty surfaces;","0","0","2","Food Service Establishment - Food Service Establishment","Putnam County","PUTNAM","75 SEMINARY HILL ROAD","CARMEL","10512","395000","CARMEL","ARMS ACRES","03/31/2026",,"ARMS ACRES INC.","BARRY","ROBERT","299407","Inspection",,"NY","(41.41438, -73.679995)"
"TSO'S ASIAN CUISINE","1906 ROUTE 52,  HOPEWELL JUNCTION","11/28/2025","Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish); Item 11D-   Non food contact surfaces of equipment not clean;","0","0","2","Food Service Establishment - Restaurant","Dutchess County","DUTCHESS","1906 ROUTE 52","HOPEWELL JUNCTION","12533","135400","E. FISHKILL","TSO'S ASIAN CUISINE","11/30/2025",,"JNL RESTAURANT INC.","CHENG","JOE","750975","Inspection","Kitchen equipment has been re-arranged and Operators have been cleaning out kitchen of unnecessary, excess equipment.","NY","(41.53878, -73.84078)"
"REDEEMER LUTHERAN CHURCH","72 MAIN STREET,  BINGHAMTON","07/29/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Broome County","BROOME","72 MAIN STREET","BINGHAMTON","13905","030100","BINGHAMTON","REDEEMER LUTHERAN CHURCH","03/31/2026",,"REDEEMER LUTHERAN CHURCH","ZAKREVSKY","ALICE","761307","Inspection","Would like a letter of permission once the current permit runs out.","NY","(42.099752, -75.922364)"
"SAINT AUGUSTINE PARISH","35 PHILLIPS AVENUE,  HIGHLAND","06/05/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Ulster County","ULSTER","35 PHILLIPS AVENUE","HIGHLAND","12528","555600","LLOYD","SAINT AUGUSTINE PARISH","02/28/2026",,"SAINT AUGUSTINE PARISH","LYNCH","REV. JOHN","780199","Re-Inspection","previous critical violations have been corrected","NY","(41.722795, -73.968357)"
"LA HERRADURA","1323 NORTH AVENUE,  NEW ROCHELLE","09/17/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Westchester County","WESTCHESTER","1323 NORTH AVENUE","NEW ROCHELLE","10804","590400","NEW ROCHELLE","LA HERRADURA","12/31/2026",,"MISAL CORP.","GUTIERREZ","MARISELA","789697","Inspection","FSE visited during operational hours according to website. Staff member observed outside of facility does states they do not have access to interior of facility at time of attempted inspection and need to wait for additional staff to open the facility. After approximately 20 minutes, no additional staff has arrived. Reinspection required. Signature of operator on scene not obtained.","NY","(40.947089, -73.795787)"
"HOLY SCHNITZEL","688 CENTRAL AVENUE,  CEDARHURST","02/18/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Nassau  County","NASSAU","688 CENTRAL AVENUE","CEDARHURST","11516","292900","HEMPSTEAD","HOLY SCHNITZEL","07/31/2026",,"JACOB'S KITCHEN INC",,,"783820","Re-Inspection","No violation was noted at the time of inspection.","NY","(40.625426, -73.718688)"
"WOODSTOCK PEACE, LOVE & CUPCAKES","59  TINKER STREET,  WOODSTOCK","07/07/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Ulster County","ULSTER","59  TINKER STREET","WOODSTOCK","12498","556900","WOODSTOCK","WOODSTOCK PEACE, LOVE & CUPCAKES","02/28/2026",,"HEARTS 'N WILDFLOWERS, LTD","HARDGROVE-KOLLAR","JANICE","801112","Inspection","three bay good, handwashing station good, milk in glass door refrigerator 37F, soap and paper towels present.|allergy requirements going forward discussed with DOH. Will email allergy pamphlet when back at office.","NY","(42.040441, -74.120315)"
"SKYLINE DINER","314 COLUMBIA STREET,  RENSSELAER","11/06/2025","No violations found.","0","0","0","Food Service Establishment - Restaurant","Rensselaer County","RENSSELAER","314 COLUMBIA STREET","RENSSELAER","12144","410101","RENSSELAER","THE SKYLINE DINER","01/31/2026",,"THE SKYLINE DINER, INC.","LOUPESSIS","PETROS","301119","Inspection","No violations present at time of inspection.","NY","(42.63354, -73.745781)"
"NEWBURGH FREE ACADEMY - NORTH CAMPUS","301 ROBINSON AVENUE,  NEWBURGH","05/06/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Orange County","ORANGE","301 ROBINSON AVENUE","NEWBURGH","12550","350200","NEWBURGH","Newburgh Free Academy - North Campus","12/31/2026",,"Newburgh Enlarged City School District (FSEs)","Torres","Christina","592953","Inspection",,"NY","(41.511895, -74.020318)"
"PRIMA PIZZA","252 MAIN  STREET,  CORNWALL","02/18/2025","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","252 MAIN  STREET","CORNWALL","12518","355200","CORNWALL","Prima Pizza","09/30/2026",,"Fit-Tech Services, Inc","Scalise","Anthony","602020","Inspection",,"NY","(41.436196, -74.032494)"
"NEWBURGH BREWING COMPANY","88  SOUTH COLDEN  STREET,  NEWBURGH","09/26/2025","Item  7F-  Critical Violation [RED] Precooked, refrigerated potentially hazardous food is not reheated to 165°F or above within two hours.; Item 10B-   Non-food contact surfaces and equipment are improperly designed, constructed, installed, maintained (equipment not readily accessible for cleaning, surface not smooth finish);","1","0","1","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","88  SOUTH COLDEN  STREET","NEWBURGH","12550","350200","NEWBURGH","Newburgh Brewing Company","10/31/2026",,"Newburgh Brewing Co. LLC","Halayko","Paul","811005","Inspection",,"NY","(41.49926, -74.00982)"
"DUNKIN /BASKIN ROBBINS","674  BROADWAY,  NEWBURGH","01/29/2026","No violations found.","0","0","0","Food Service Establishment - Food Service Establishment","Orange County","ORANGE","674  BROADWAY","NEWBURGH","12550","350200","NEWBURGH","Dunkin /Baskin Robbins","10/31/2026",,"Ganpati Donuts, Inc.","Patel","Amish","601883","Inspection",,"NY","(41.501915, -74.038652)"
"HARTS HILL ELEMENTARY SCHOOL","8551 CLARK MILLS ROAD,  WHITESBORO","10/24/2025","No violations found.","0","0","0","Institutional Food Service - School K-12 Food Service","Oneida County","ONEIDA","8551 CLARK MILLS ROAD","WHITESBORO","13492","327500","WHITESTOWN","HARTS HILL ELEMENTARY SCHOOL","12/31/2026",,"WHITESBORO CENTRAL SCHOOL","AGUIAR","ANGELA","289976","Inspection",,"NY","(43.106224, -75.321445)"
